"Type";"Name";"Description";"Preparation";"Calories";"Fat";"Carbs";"Protein";"Ingredient1";"Ingredient2";"Ingredient3";"Ingredient4";"Ingredient5";"Ingredient6";"Ingredient7";"Ingredient8";"Ingredient9";"Ingredient10";"Ingredient11";"Image"
"Appetizer";"Bruschetta (Vegetarian)";"Toasted baguette slice with tomato, garlic, and olive oil";"Slice baguette diagonally (1/2 inch thick). Brush with olive oil. Toast bread in oven (broil) or pan (medium heat) until golden brown and crisp. Dice tomatoes (optional: remove seeds/pulp). Mince garlic. Rub warm bread with garlic. Top with tomatoes, salt, and olive oil.";"190";"9";"21";"3";"1 baguette";"2 tomatoes";"1 clove garlic";"1/4 cup olive oil";"salt";"pepper";"fresh basil (optional)";;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Bruscheta.jpg?raw=true"
"Appetizer";"Caprese Skewers";"Cherry tomatoes, mozzarella balls, and fresh basil leaves with balsamic glaze (optional)";"Thread cherry tomatoes, mozzarella balls, and fresh basil leaves onto skewers. Drizzle with balsamic glaze (optional).";"120";"8";"5";"5";"Cherry tomatoes";"Mozzarella balls";"Fresh basil leaves";"Balsamic glaze (optional)";;;;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Caprese-Skewers.jpg?raw=true"
"Appetizer";"Edamame (Vegan)";"Steamed or boiled edamame with sea salt";"Steam or boil frozen shelled edamame according to package instructions. Drain and sprinkle with sea salt.";"120";"5";"16";"12";"1 package frozen shelled edamame";"Sea salt";;;;;;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/edamame.jpg?raw=true"
"Appetizer";"Hummus and Pita Bread (Vegetarian)";"Hummus with whole wheat pita bread";"Serve store-bought hummus with whole wheat pita bread for dipping.";"300";"12";"40";"8";"1 cup store-bought hummus";"2 whole wheat pita bread";;;;;;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Humus-and-pita.jpg?raw=true"
"Dessert";"Greek Yogurt with Berries";"Plain Greek yogurt with mixed berries";"Layer plain Greek yogurt with mixed berries in a bowl.";"200";"3";"25";"20";"1 cup plain Greek yogurt";"1/2 cup mixed berries";;;;;;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/yogurt.jpg?raw=true"
"Dessert";"Baked Apples";"Baked apples with chopped nuts, honey, and cinnamon";"Core apples. Stuff with chopped nuts, honey, and cinnamon. Bake until tender (around 30 minutes at 375F / 190C)";"250";"5";"45";"2";"2 apples";"1/4 cup chopped nuts";"1 tbsp honey";"1 tsp cinnamon";;;;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/bakedapples.jpg?raw=true"
"Dessert";"Dark Chocolate with Almonds (Vegan)";"Dark chocolate (70% cacao or higher) with almonds";"Enjoy dark chocolate (70% cacao or higher) with almonds.";"300";"18";"15";"8";"1 oz dark chocolate (70% cacao or higher)";"1/4 cup almonds";;;;;;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/darkchocolate.jpg?raw=true"
"Dessert";"Fruit Salad";"Mixed fruits with lemon juice and honey (optional)";"Wash & chop desired fruits, toss together with lemon juice & honey (optional).";"150";"0";"35";"2";"1 cup mixed fruits (e.g.";"apple";"banana";"grapes)";"1 tbsp lemon juice";"1 tbsp honey (optional)";;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/fruitsalad.jpg?raw=true"
"Main Cours";"Salmon with Roasted Vegetables";"Baked salmon fillet with roasted broccoli and cherry tomatoes";"Preheat oven to 400F (200C). Season salmon fillet with salt and pepper. Toss desired vegetables (broccoli, cherry tomatoes, etc.) with olive oil and salt. Arrange salmon and vegetables on a baking sheet. Roast for 15-20 minutes, or until salmon is cooked through and  egetables are tender-crisp.";"400";"20";"15";"35";"1 salmon fillet";"1 tbsp olive oil";"Salt";"pepper";"1 cup broccoli florets";"1/2 cup cherry tomatoes";;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/salmon.jpg?raw=true"
"Main Cours";"One-Pan Chicken Fajitas";"Sliced chicken breast, bell pepper, and onion fajitas cooked in a pan with fajita seasoning, served on tortillas";"Slice chicken breast, season with fajita seasoning & olive oil, slice bell pepper & onion, heat skillet over medium-high heat, cook chicken until browned, push chicken to side & add vegetables, cook until tender-crisp, serve with tortillas & toppings.";"450";"15";"30";"40";"1 boneless";"skinless chicken breast (sliced)";"1 bell pepper (sliced)";"1/2 onion (sliced)";"1 tbsp olive oil";"Fajita seasoning";"2 whole wheat tortillas";;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/fajitas.jpg?raw=true"
"Main Cours";"Lentil Soup (Vegetarian)";"Lentils simmered in vegetable broth with vegetables and herbs";"Rinse lentils. In a pot, combine lentils, vegetable broth, chopped vegetables (onion, carrots, celery), and dried thyme. Bring to a boil, then reduce heat and simmer for 30-40 minutes, or until lentils are tender. Season with salt and pepper to taste";"250";"5";"40";"15";"1 cup lentils";"4 cups vegetable broth";"1 onion (chopped)";"2 carrots (chopped)";"1 celery stalk (chopped)";"1 tsp dried thyme";"Salt";"pepper";;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/lentilsoup.jpg?raw=true"
"Main Cours";"Black Bean Burgers (Vegan)";"Black bean burgers made with oats, vegetables, and spices, served on hamburger buns";"Rinse & drain black beans, mash half, combine with remaining whole beans, rolled oats, chopped onion & bell pepper, olive oil, cumin, salt & pepper, form into patties, cook in skillet 3-4 min per side or until golden brown & heated through, serve on buns with toppings.";"350";"10";"45";"15";"1 can black beans (rinsed and drained)";"1/2 cup rolled oats";"1/4 cup chopped onion";"1/4 cup chopped bell pepper";"1 tbsp olive oil";"1 tsp cumin";"Salt";"pepper";"Hamburger buns";;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/blackbeanburgers-3-1.jpg?raw=true"
"Fish & Seaod";"Sage-Rubbed Salmon";;"In a large cast-iron skillet, heat oil over medium heat. Add salmon, skin side down; cook 5 minutes. Transfer skillet to oven; bake just until fish flakes easily with a fork, about 10 minutes.";"220";"15";"37";"19";"2 tablespoons minced fresh sage";"1 teaspoon garlic powder";"1 teaspoon kosher salt";"1 teaspoon freshly ground pepper";"1 skin-on salmon fillet (1-1/2 pounds)";"2 tablespoons olive oil";;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Sage-Rubbed-Salmon.jpg?raw=true"
"Fish & Seaod";"Shrimp Spaghetti with Cherry Tomatoes";;"Cook until tomatoes begin to burst, 4-5 minutes. Add shrimp; cook until shrimp turn pink, 4-5 minutes. Add pasta, reserved pasta water and Romano to pan; stir until creamy. Garnish with parsley and additional Romano.";"726";"35";"66";"38";"1 pound uncooked spaghetti";"3 tablespoons olive oil";"2 garlic cloves, smashed";"1 teaspoon crushed red pepper flakes";"4 cups heirloom cherry tomatoes";"2 shallots, thinly sliced";"1 can anchovy fillets (2 ounces)";"3/4 cup muffuletta mix or olive bruschetta topping";"4 tablespoons unsalted butter";"1 pound uncooked shrimp peeled";"1-1/2 cups grated Romano cheese, parsley";"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Shrimp-Spaghetti-with-Cherry-Tomatoes.jpg?raw=true"
"Fish & Seaod";"Air-Fryer Popcorn Shrimp";"These quick air-fryer shrimp are so good you won't even miss the fat! Eat them alone with cocktail sauce or put them on a salad or sandwich";"Preheat air fryer. In a shallow bowl, whisk egg, milk and hot pepper sauce, Place bread crumbs in a  bowl. Dip shrimp in flour to coat both sides; Dip in egg mixture, then in bread crumbs, patting to help adhere. In batches, arrange shrimp in a single layer in greased air fryer;  Cook until 3-4 minutes on each side.";"198";"4";"15";"23";"1/2 cup all-purpose flour";"1/2 teaspoon seafood seasoning";"1/2 teaspoon dill weed";"1/2 teaspoon pepper";"1 large egg";"1/2 cup 2% milk";"1 teaspoon hot pepper sauce";"1 cup panko bread crumbs";"1 pound uncooked shrimp (26-30 per pound), peeled and deveined";"Seafood cocktail sauce and lemon wedges";;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Air-Fryer-Breaded-Shrimp.jpg?raw=true"
